day,strike,product,delta_emp,delta_BS,diff,R2,n_obs,iv_mean,mean_S,mean_C
0,4000,VEV_4000,0.7444740929547174,1.0,-0.25552590704528255,0.3542703927978299,9999,0.0768880771075036,5246.51025,1246.5241
0,4500,VEV_4500,0.6598430841530926,1.0,-0.34015691584690744,0.35518618457794604,9999,0.1292626329639418,5246.51025,746.5216
0,5000,VEV_5000,0.6506631088454339,0.9203553082174495,-0.2696921993720156,0.5692211147902009,9999,0.2594163046937103,5246.51025,253.2595
0,5100,VEV_5100,0.5606953681946713,0.7955660621755096,-0.23487069398083837,0.5772180164787919,9999,0.2625496628628061,5246.51025,168.1077
0,5200,VEV_5200,0.42998526424787925,0.6087845529535975,-0.1787992887057182,0.5032338567347808,9999,0.257671394787737,5246.51025,97.4709
0,5300,VEV_5300,0.27364689951810106,0.3905750215776098,-0.11692812205950875,0.3908988483621707,9999,0.2576576526160574,5246.51025,48.8925
0,5400,VEV_5400,0.1378589350432116,0.19472660626812593,-0.056867671224914346,0.31301600397292373,9999,0.24637501161022576,5246.51025,18.46725
0,5500,VEV_5500,0.06382173722569597,0.09365312792048092,-0.02983139069478495,0.14087350146238142,9999,0.2646094054864168,5246.51025,8.05895
0,6000,VEV_6000,0.0,0.005774558750575254,-0.005774558750575254,,9999,0.3940589421776572,5246.51025,0.5
0,6500,VEV_6500,0.0,0.003983747456529296,-0.003983747456529296,,9999,0.5960945949297922,5246.51025,0.5
1,4000,VEV_4000,0.7582076222649349,1.0,-0.24179237773506512,0.359359862251484,9999,0.09270362083813956,5248.3919,1248.40795
1,4500,VEV_4500,0.6658900731939348,1.0,-0.3341099268060652,0.35575789246346035,9999,0.14108001497623252,5248.3919,748.40525
1,5000,VEV_5000,0.6520667093793077,0.936471903992669,-0.28440519461336133,0.5649492893633774,9999,0.2616090554381674,5248.3919,253.263
1,5100,VEV_5100,0.5759605490515852,0.8210798330716503,-0.2451192840200651,0.5901841052851151,9999,0.25856836289642315,5248.3919,164.9832
1,5200,VEV_5200,0.4320577785543713,0.6180306525643514,-0.18597287400998014,0.5062660133632545,9999,0.2657015055950777,5248.3919,95.12845
1,5300,VEV_5300,0.2710311219834197,0.38982333394362034,-0.11879221196020062,0.3811027672539583,9999,0.2690345875265865,5248.3919,46.9092
1,5400,VEV_5400,0.12701186246529597,0.1801601261656921,-0.05314826370039613,0.2876121609560506,9999,0.24942952565202625,5248.3919,15.6542
1,5500,VEV_5500,0.05426446890713883,0.08238138504876774,-0.02811691614162891,0.12037209421356088,9999,0.27133394501037233,5248.3919,6.57085
1,6000,VEV_6000,0.0,0.005800697637518448,-0.005800697637518448,,9999,0.42751710219842337,5248.3919,0.5
1,6500,VEV_6500,0.0,0.00399882911867061,-0.00399882911867061,,9999,0.6472559141787768,5248.3919,0.5
2,4000,VEV_4000,0.7325392841975213,1.0,-0.26746071580247865,0.3480382999574947,9999,0.10941200192559931,5255.39215,1255.39735
2,4500,VEV_4500,0.6596077371530057,1.0,-0.3403922628469943,0.361572992236879,9999,0.1503080212698441,5255.39215,755.40185
2,5000,VEV_5000,0.6577352225782789,0.9541929138362513,-0.2964576912579724,0.569814479200822,9999,0.2683270174711989,5255.39215,258.5447
2,5100,VEV_5100,0.5948225937222501,0.8526381740275284,-0.2578155803052783,0.5900326933548401,9999,0.26160127643157927,5255.39215,167.32545
2,5200,VEV_5200,0.44770472182541216,0.6444778751162273,-0.19677315329081518,0.53427631929874,9999,0.2683953806333809,5255.39215,94.04695
2,5300,VEV_5300,0.27340643218408556,0.3963111849689428,-0.12290475278485724,0.3874573917334989,9999,0.2737168686870567,5255.39215,44.4781
2,5400,VEV_5400,0.12200301146673874,0.17197923647386282,-0.04997622500712408,0.2749844586850375,9999,0.2545177636807774,5255.39215,13.7343
2,5500,VEV_5500,0.0467742558202386,0.07241945788081627,-0.025645202060577674,0.10312459704815802,9999,0.27806942903744153,5255.39215,5.29425
2,6000,VEV_6000,0.0,0.005865878799031499,-0.005865878799031499,,9999,0.4686930386387135,5255.39215,0.5
2,6500,VEV_6500,0.0,0.004032616287046098,-0.004032616287046098,,9999,0.7119134567175532,5255.39215,0.5
