day,strike,rows,valid_iv,mean_baseline_long_ev,mean_baseline_short_ev,mean_rolling_long_ev,mean_rolling_short_ev,rolling_long_positive_pct,rolling_short_positive_pct,mean_rolling_residual,std_rolling_residual,mean_rolling_quad,window_ts
0,4000,10000,976,-10.379830577223835,-9.62221860310403,-10.395670589081732,-9.606378591246136,0.0,0.0047,-0.01314078927539077,0.06516422689725389,6.417260421462505,500
0,4500,10000,3012,-8.359670447374707,-7.414565940407498,-8.367546383182471,-7.4066150249875715,0.0,0.0087,0.018838615905698974,0.026880811150619344,6.417260421462505,500
0,5000,10000,10000,-1.7578794313192698,-4.24392056868073,-1.802727566409807,-4.199072973752242,0.009,0.0,-0.009849473711134883,0.004478339856037257,6.417260421462505,500
0,5100,10000,10000,-2.836418021750535,-1.4833819782494648,-2.89799498695049,-1.4218009518311445,0.0032,0.0237,0.0030944158243886508,0.002463836883282974,6.417260421462505,500
0,5200,10000,10000,-2.8092648783778635,-0.11673512162213617,-2.8730886557162747,-0.052889137621726985,0.0013,0.4554,0.004375902169983226,0.002404318671399456,6.417260421462505,500
0,5300,10000,10000,-2.620989493126989,0.4603894931269885,-2.675597843637458,0.5149496491791203,0.0,0.8793,0.004929218489217062,0.0012872461737337448,6.417260421462505,500
0,5400,10000,10000,1.255025404947191,-2.684725404947191,1.211806735803067,-2.6415356544786697,0.8046,0.0046,-0.008474524133771418,0.005167205954446573,6.417260421462505,500
0,5500,10000,10000,-0.35656187126637184,-0.8241381287336282,-0.37928459002965054,-0.8014696362382299,0.2135,0.0501,-0.0015962525229735237,0.002960195928511418,6.417260421462505,500
0,6000,10000,10000,-0.5940395995698051,-0.4059604004301948,-0.6007763977384519,-0.399223602261548,0.0,0.0,0.007323581341873984,0.0021037134335211965,6.417260421462505,500
0,6500,10000,10000,-0.47320911133082144,-0.5267908886691784,-0.4846502265372208,-0.5153497734627792,0.0,0.0,-0.0015618084789044224,0.0013826891274794065,6.417260421462505,500
1,4000,10000,1004,-10.32808746000007,-9.611155567888376,-10.35316615810836,-9.586076869780086,0.0,0.0026,-0.01465627874220902,0.07070406437717086,7.2885996931724515,500
1,4500,10000,3037,-8.4933531928375,-7.26561947756092,-8.495517983488357,-7.263375297144053,0.0,0.0091,0.02962875458474499,0.030257679017661642,7.2885996931724515,500
1,5000,10000,9999,-1.7526133008968328,-4.255887549188175,-1.7557540478622211,-4.252749353498323,0.0099,0.0002,-0.01355965364693288,0.006456904710448993,7.2885996931724515,500
1,5100,10000,10000,-1.2078328872236108,-3.0491671127763893,-1.2096914056334966,-3.0473857175034444,0.0257,0.0001,-0.004672873605072318,0.003057655747019933,7.2885996931724515,500
1,5200,10000,10000,-3.495242580776152,0.6173425807761515,-3.507327745075117,0.6294643860674146,0.0,0.7999,0.006981110258787408,0.0021260134293462772,7.2885996931724515,500
1,5300,10000,10000,-4.024659309297417,1.9158593092974165,-4.052410132878006,1.943577483083068,0.0,0.9672,0.010146389879636453,0.003531465447553401,7.2885996931724515,500
1,5400,10000,10000,1.5331208775545302,-2.91952087755453,1.4985249378286267,-2.8850408926150624,0.9997,0.0,-0.010899422087566526,0.002468778188310847,7.2885996931724515,500
1,5500,10000,10000,-0.2987294418620569,-0.8539705581379431,-0.33104912477044246,-0.8216966989766817,0.2117,0.018,-0.0024591125510881784,0.0034654478998316185,7.2885996931724515,500
1,6000,10000,10000,-0.6715230805916929,-0.32847691940830714,-0.6812964265101652,-0.31870357348983475,0.0,0.0,0.014287032005009115,0.003009044837536684,7.2885996931724515,500
1,6500,10000,10000,-0.44180801874057923,-0.5581919812594207,-0.45609409405049167,-0.5439059059495083,0.0,0.0,-0.004831876566927613,0.002048406689471833,7.2885996931724515,500
2,4000,10000,1006,-10.41511442557056,-9.938762313992065,-10.424421159028595,-9.929455580534029,0.0,0.0027,-0.026069580352323856,0.07741455282208792,8.444055025762086,500
2,4500,10000,2774,-8.690453997857395,-7.103345569554285,-8.68523057364246,-7.108494633714193,0.0,0.0082,0.046133558267833184,0.034940697892903445,8.444055025762086,500
2,5000,10000,9977,-2.161237850301113,-3.9647519261848045,-2.1642469542876377,-3.961680456981662,0.0074,0.0002,-0.014256904920103739,0.008726877957056792,8.444055025762086,500
2,5100,10000,10000,-0.9681280780244368,-3.3425719219755634,-0.9913829047336122,-3.3192102732197735,0.0931,0.0,-0.00716625564139047,0.0037377894484026102,8.444055025762086,500
2,5200,10000,10000,-2.71175336706332,-0.1487466329366798,-2.7669436277381925,-0.09331444968503456,0.0009,0.4387,0.005090539296688723,0.0026828747244714794,8.444055025762086,500
2,5300,10000,10000,-3.6247629596155386,1.5737629596155385,-3.7008645808964777,1.6498492763051005,0.0,0.9989,0.009844671169800034,0.0022340947439101672,8.444055025762086,500
2,5400,10000,10000,1.4949408529266963,-2.8231408529266964,1.4261856276935319,-2.754184027213388,0.9997,0.0,-0.011761693547015666,0.002304552116427352,8.444055025762086,500
2,5500,10000,10000,-0.20716469306191954,-0.9087353069380805,-0.26379955327698024,-0.85213522715715,0.2831,0.0168,-0.003516366651688812,0.004256154486448268,8.444055025762086,500
2,6000,10000,10000,-0.7574133136564193,-0.2425866863435807,-0.7711796892390859,-0.22882031076091414,0.0,0.0,0.023476719148417643,0.004428709072006975,8.444055025762086,500
2,6500,10000,10000,-0.4114171746865249,-0.588582825313475,-0.4298421591793686,-0.5701578408206315,0.0,0.0,-0.008473458065511036,0.002875633385473685,8.444055025762086,500
